2020-04-19 13:04:579 INFO  LoginPage :56 - Entering Password : [[ChromeDriver: chrome on WINDOWS (04a5b906a090319d62cfb6608c62574a)] -> id: user_password]
2020-04-19 13:04:739 INFO  LoginPage :63 - Clicking on Login Button: [[ChromeDriver: chrome on WINDOWS (04a5b906a090319d62cfb6608c62574a)] -> name: commit]
2020-04-19 13:04:201 INFO  LoginPage :69 - Getting the Alert Message : [[ChromeDriver: chrome on WINDOWS (04a5b906a090319d62cfb6608c62574a)] -> xpath: //div[@class='alert alert-danger']]
2020-04-19 13:04:229 INFO  LoginPage :69 - Getting the Alert Message : [[ChromeDriver: chrome on WINDOWS (04a5b906a090319d62cfb6608c62574a)] -> xpath: //div[@class='alert alert-danger']]
2020-04-19 14:04:339 INFO  BrowserSelector :21 - Launching Chrome Browser
2020-04-19 14:04:804 INFO  HomePage :64 - Clicking on Login link : [[ChromeDriver: chrome on WINDOWS (300cbf5674bf8c9e459d93d55623052f)] -> partial link text: Login]
2020-04-19 14:04:816 INFO  BrowserSelector :21 - Launching Chrome Browser
2020-04-19 14:04:345 INFO  HomePage :64 - Clicking on Login link : [[ChromeDriver: chrome on WINDOWS (a2b81137f352a448745356961bea8dff)] -> partial link text: Login]
2020-04-19 14:04:573 INFO  LoginPage :50 - Entering Email : [[ChromeDriver: chrome on WINDOWS (a2b81137f352a448745356961bea8dff)] -> id: user_email]
2020-04-19 14:04:887 INFO  LoginPage :56 - Entering Password : [[ChromeDriver: chrome on WINDOWS (a2b81137f352a448745356961bea8dff)] -> id: user_password]
2020-04-19 14:04:651 INFO  LoginPage :63 - Clicking on Login Button: [[ChromeDriver: chrome on WINDOWS (a2b81137f352a448745356961bea8dff)] -> name: commit]
2020-04-19 14:04:764 INFO  MyCoursesPage :33 - My Course Text is displayed : Proxy element for: DefaultElementLocator 'By.xpath: //a[contains(text(),'My Courses')]'
2020-04-19 14:04:718 INFO  BrowserSelector :21 - Launching Chrome Browser
2020-04-19 14:04:672 INFO  HomePage :64 - Clicking on Login link : [[ChromeDriver: chrome on WINDOWS (960a2354c05d768869927385e9c7645b)] -> partial link text: Login]
2020-04-19 14:04:621 INFO  LoginPage :50 - Entering Email : [[ChromeDriver: chrome on WINDOWS (960a2354c05d768869927385e9c7645b)] -> id: user_email]
2020-04-19 14:04:27 INFO  LoginPage :56 - Entering Password : [[ChromeDriver: chrome on WINDOWS (960a2354c05d768869927385e9c7645b)] -> id: user_password]
2020-04-19 14:04:234 INFO  LoginPage :63 - Clicking on Login Button: [[ChromeDriver: chrome on WINDOWS (960a2354c05d768869927385e9c7645b)] -> name: commit]
2020-04-19 14:04:310 INFO  LoginPage :69 - Getting the Alert Message : [[ChromeDriver: chrome on WINDOWS (960a2354c05d768869927385e9c7645b)] -> xpath: //div[@class='alert alert-danger']]
2020-04-19 14:04:424 INFO  LoginPage :69 - Getting the Alert Message : [[ChromeDriver: chrome on WINDOWS (960a2354c05d768869927385e9c7645b)] -> xpath: //div[@class='alert alert-danger']]
2020-04-19 14:04:314 INFO  BrowserSelector :21 - Launching Chrome Browser
2020-04-19 14:04:327 INFO  HomePage :38 - Displaying Practice link : [[ChromeDriver: chrome on WINDOWS (8ebce735654acb0a5399c4251418114e)] -> partial link text: Login]
2020-04-19 14:04:448 INFO  BrowserSelector :21 - Launching Chrome Browser
2020-04-19 14:04:672 INFO  HomePage :45 - Displaying Login link : [[ChromeDriver: chrome on WINDOWS (5de7d220028b7c65b831c235b124e020)] -> partial link text: Login]
2020-04-19 14:04:691 INFO  BrowserSelector :21 - Launching Chrome Browser
2020-04-19 14:04:331 INFO  HomePage :51 - Displaying Sign Up link : [[ChromeDriver: chrome on WINDOWS (662d9897814549face84610dc8c59327)] -> xpath: //a[@id='header-sign-up-btn']]
2020-04-19 14:04:119 INFO  BrowserSelector :21 - Launching Chrome Browser
2020-04-19 14:04:67 INFO  HomePage :64 - Clicking on Login link : [[ChromeDriver: chrome on WINDOWS (21dd04ca7eed910b398f6eb3f1b22fea)] -> partial link text: Login]
2020-04-19 14:04:545 INFO  BrowserSelector :21 - Launching Chrome Browser
2020-04-19 14:04:611 INFO  HomePage :64 - Clicking on Login link : [[ChromeDriver: chrome on WINDOWS (5e9e9ddf42baf4b3f661ee3ec1a62021)] -> partial link text: Login]
2020-04-19 14:04:649 INFO  LoginPage :50 - Entering Email : [[ChromeDriver: chrome on WINDOWS (5e9e9ddf42baf4b3f661ee3ec1a62021)] -> id: user_email]
2020-04-19 14:04:959 INFO  LoginPage :56 - Entering Password : [[ChromeDriver: chrome on WINDOWS (5e9e9ddf42baf4b3f661ee3ec1a62021)] -> id: user_password]
2020-04-19 14:04:779 INFO  LoginPage :63 - Clicking on Login Button: [[ChromeDriver: chrome on WINDOWS (5e9e9ddf42baf4b3f661ee3ec1a62021)] -> name: commit]
2020-04-19 14:04:865 INFO  MyCoursesPage :33 - My Course Text is displayed : Proxy element for: DefaultElementLocator 'By.xpath: //a[contains(text(),'My Courses')]'
2020-04-19 14:04:569 INFO  BrowserSelector :21 - Launching Chrome Browser
2020-04-19 14:04:896 INFO  HomePage :64 - Clicking on Login link : [[ChromeDriver: chrome on WINDOWS (d0316aee4733356e897f4c5fde1aa229)] -> partial link text: Login]
2020-04-19 14:04:411 INFO  LoginPage :50 - Entering Email : [[ChromeDriver: chrome on WINDOWS (d0316aee4733356e897f4c5fde1aa229)] -> id: user_email]
2020-04-19 14:04:694 INFO  LoginPage :56 - Entering Password : [[ChromeDriver: chrome on WINDOWS (d0316aee4733356e897f4c5fde1aa229)] -> id: user_password]
2020-04-19 14:04:189 INFO  LoginPage :63 - Clicking on Login Button: [[ChromeDriver: chrome on WINDOWS (d0316aee4733356e897f4c5fde1aa229)] -> name: commit]
2020-04-19 14:04:237 INFO  LoginPage :69 - Getting the Alert Message : [[ChromeDriver: chrome on WINDOWS (d0316aee4733356e897f4c5fde1aa229)] -> xpath: //div[@class='alert alert-danger']]
2020-04-19 14:04:308 INFO  LoginPage :69 - Getting the Alert Message : [[ChromeDriver: chrome on WINDOWS (d0316aee4733356e897f4c5fde1aa229)] -> xpath: //div[@class='alert alert-danger']]
2020-04-19 14:04:539 INFO  BrowserSelector :21 - Launching Chrome Browser
